Item Code,Group Code,Item Name,Barcode/Print Name,Company,Quality,Unit,Opening Qty,Opening Value,Min Level,Reorder Level,Fixed Sale Rate,Fixed Purchase Rate,Wholesale Rate,Purchase Rate,Cost Rate A,Cost Rate B,Cost Rate C,HSN Code,GST %,Box,Cut,Mark,Date,Active
38,DHOTI,Sukhsagar,Sukhsagar,Atc,,P,0,0,0,0,290.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
39,DHOTI,Sudama,Sukhsagar,Atc,,P,0,0,0,0,290.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
40,DHOTI,Rajyapal (630),Rajyapal (630),Atc,,P,0,0,0,0,335.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
41,DHOTI,Spl Rajyapal (720),Spl Rajyapal (720),Atc,,P,0,0,0,0,10.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
42,DHOTI,Dev Pooja (Pair),Dev Pooja (Pair),Atc,,P,0,0,0,0,200.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
43,DHOTI,Haridarshan (Single),Haridarshan (Single),Atc,,P,0,0,0,0,162.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
44,DHOTI,Subh Mangal(Pair),Subh Mangal(Pair),Atc,,P,0,0,0,0,330.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
45,DHOTI,Maruti,Maruti,Atc,,P,0,0,0,0,250.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
46,DHOTI,Mahavir,Maruti,Atc,,P,0,0,0,0,245.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
47,DHOTI,Vishnu Pooja,Vishnu Pooja,Atc,,P,0,0,0,0,270.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
48,DHOTI,Anjani Putra,Anjani Putra,Atc,,P,0,0,0,0,290.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
49,DHOTI,Om Namah Shivay,Anjani Putra,Atc,,P,0,0,0,0,320.0,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
50,DHOTI,Desi Kalakaar,Desi Kalakaar,Ata,,P,0,0,0,0,93.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
51,DHOTI,Super Kalakaar,Super Kalakaar,Ata,,P,0,0,0,0,120.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
52,DHOTI,Kalakaar Gold,Kalakaar Gold,Ata,,P,0,0,0,0,107.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
53,DHOTI,Kalakaar King,Kalakaar King,Ata,,P,0,0,0,0,111.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
54,DHOTI,Shriman,Shriman,Ata,,P,0,0,0,0,164.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
55,DHOTI,Shivajee,Shivajee,Ata,,P,0,0,0,0,151.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
56,DHOTI,Sardar,Sardar,Ata,,P,0,0,0,0,163.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
57,DHOTI,Singham,Singham,Ata,,P,0,0,0,0,171.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
58,DHOTI,Latest Doller,Latest Doller,Ata,,P,0,0,0,0,172.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
59,DHOTI,Patnayak,Patnayak,Ata,,P,0,0,0,0,178.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
60,DHOTI,Super Aalishan,Super Aalishan,Ata,,P,0,0,0,0,191.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
61,DHOTI,Aalishan,Aalishan,Ata,,P,0,0,0,0,196.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
62,DHOTI,New Doller,New Doller,Ata,,P,0,0,0,0,193.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
63,DHOTI,Spl Doller,Spl Doller,Ata,,P,0,0,0,0,198.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
64,DHOTI,Uprajyapal,Uprajyapal,Ata,,P,0,0,0,0,212.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
65,DHOTI,Seth Saheb,Seth Saheb,Ata,,P,0,0,0,0,237.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
66,DHOTI,Bhattacharya,Bhattacharya,Ata,,P,0,0,0,0,238.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
67,DHOTI,Vijay Babu,Vijay Babu,Ata,,P,0,0,0,0,225.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
68,DHOTI,Doller,Doller,Ata,,P,0,0,0,0,225.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
69,DHOTI,Chanakya,Chanakya,Ata,,P,0,0,0,0,239.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
70,DHOTI,Chakravarti,Chakravarti,Ata,,P,0,0,0,0,290.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
71,DHOTI,Jamai Babu,Jamai Babu,Ata,,P,0,0,0,0,238.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
72,DHOTI,Anurag,Anurag,Ata,,P,0,0,0,0,255.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
73,DHOTI,Ridhi Sidhi,Ridhi Sidhi,Ata,,P,0,0,0,0,270.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
74,DHOTI,Rajhans,Rajhans,Ata,,P,0,0,0,0,77.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
75,DHOTI,Shalini,Shalini,Ata,,P,0,0,0,0,81.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
76,DHOTI,Suhagan,Suhagan,Ata,,P,0,0,0,0,89.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
77,DHOTI,Radhika,Radhika,Ata,,P,0,0,0,0,90.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
78,DHOTI,Anamika,Anamika,Ata,,P,0,0,0,0,97.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
79,DHOTI,Anuradha,Anuradha,Ata,,P,0,0,0,0,102.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
80,DHOTI,Karamveer Gold,Karamveer Gold,Ata,,P,0,0,0,0,107.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
81,DHOTI,Karamveer King,Karamveer King,Ata,,P,0,0,0,0,120.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
82,DHOTI,Super Karamveer,Super Karamveer,Ata,,P,0,0,0,0,115.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
83,DHOTI,Ashta,Ashta,Ata,,P,0,0,0,0,165.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
84,DHOTI,Hari Priya,Hari Priya,Ata,,P,0,0,0,0,255.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
85,MARKIN,51519-50 (95L),51519-50 (95L),Ata,,M,0,0,0,0,11.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
86,MARKIN,51519-95 (95L),51519-95 (95L),Ata,,M,0,0,0,0,11.85,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
87,MARKIN,51519-51,51519-51,Ata,,M,0,0,0,0,14.15,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
88,MARKIN,51519-11,51519-11,Ata,,M,0,0,0,0,13.91,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
89,MARKIN,51519-00,51519-00,Ata,,M,0,0,0,0,14.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
90,MARKIN,Luvkush,51519-00,Ata,,M,0,0,0,0,14.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
91,MARKIN,Gurudatt,Gurudatt,Ata,,M,0,0,0,0,16.21,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
92,MARKIN,51519-0,Gurudatt,Ata,,M,0,0,0,0,15.11,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
93,MARKIN,Maruti,Maruti,Ata,,M,0,0,0,0,15.65,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
94,MARKIN,51519 Mill,Maruti,Ata,,M,0,0,0,0,15.71,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
95,MARKIN,41 Lakh,41 Lakh,Ata,,M,0,0,0,0,16.61,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
96,MARKIN,Nag Kanya,41 Lakh,Ata,,M,0,0,0,0,17.91,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
97,MARKIN,71 Lakh,71 Lakh,Ata,,M,0,0,0,0,17.21,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
98,MARKIN,61 Lakh,61 Lakh,Ata,,M,0,0,0,0,18.35,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
99,MARKIN,Vish Kanya,61 Lakh,Ata,,M,0,0,0,0,18.15,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
100,MARKIN,31 Lakh,31 Lakh,Ata,,M,0,0,0,0,15.61,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
101,MARKIN,Rani Chap,Rani Chap,Ata,,M,0,0,0,0,20.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
102,MARKIN,51519 (Utc),Nand Gopal,Ata,,M,0,0,0,0,19.11,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
103,MARKIN,Nand Gopal,Nand Gopal,Ata,,M,0,0,0,0,20.81,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
104,MARKIN,51519 (Atc),51519 (Atc),Ata,,M,0,0,0,0,19.81,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
105,MARKIN,Double Ghoda,51519 (Atc),Ata,,M,0,0,0,0,19.91,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
106,MARKIN,051519 (Atc),Nai Duniya,Ata,,M,0,0,0,0,21.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
107,MARKIN,051519 Atc,Nai Duniya,Ata,,M,0,0,0,0,21.5,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
108,MARKIN,0051519 (Atc),0051519 (Atc),Ata,,M,0,0,0,0,23.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
109,MARKIN,Lord Krishna,Lord Krishna,Ata,,M,0,0,0,0,22.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
110,MARKIN,Murliwala,Murliwala,Ata,,M,0,0,0,0,25.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
111,MARKIN,Vanraj,Vanraj,Ata,,M,0,0,0,0,29.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
112,MARKIN,Pushpak,Pushpak,Ata,,M,0,0,0,0,31.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
113,MULMUL,Dhanlaxmi,Dhanlaxmi,Ata,,M,0,0,0,0,19.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
114,MULMUL,Geetanjali,Geetanjali,Ata,,M,0,0,0,0,20.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
115,MULMUL,Sunrise,Sunrise,Ata,,M,0,0,0,0,21.25,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
116,MULMUL,Kamini,Kamini,Ata,,M,0,0,0,0,24.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
117,MULMUL,Aishwarya,Aishwarya,Ata,,M,0,0,0,0,27.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
118,POPLIN,Sharmili (98L Than),Sharmili (98L Than),Ata,,P,0,0,0,0,30.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
119,POPLIN,Gadar (98L Than),Gadar (98L Than),Ata,,P,0,0,0,0,32.76,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
120,POPLIN,Kaveri (100L Than),Kaveri (100L Than),Ata,,P,0,0,0,0,32.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
121,POPLIN,Rajkamal (100L Than),Rajkamal (100L Than),Ata,,P,0,0,0,0,37.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
122,POPLIN,Anupama (100L Than),Anupama (100L Than),Ata,,P,0,0,0,0,43.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
123,PETICOT,Sharmili (Stitched),Sharmili (Stitched),Ata,,P,0,0,0,0,65.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
124,PETICOT,Gadar (Stitched),Gadar (Stitched),Ata,,P,0,0,0,0,75.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
125,PETICOT,Kaveri (Stitched,Kaveri (Stitched,Ata,,P,0,0,0,0,72.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
126,PETICOT,Rajkamal (Stitched),Rajkamal (Stitched),Ata,,P,0,0,0,0,74.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
127,PETICOT,Anupama (Stitched),Anupama (Stitched),Ata,,P,0,0,0,0,85.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
128,POPLIN,Sharmili (2MTR),Sharmili (2MTR),Ata,,P,0,0,0,0,65.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
129,PETICOT,Gadar Peticot (2MTR),Gadar Peticot (2MTR),Ata,,P,0,0,0,0,69.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
130,POPLIN,Kaveri (2MTR),Kaveri (2MTR),Ata,,P,0,0,0,0,66.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
131,POPLIN,Rajkamal (2MTR),Rajkamal (2MTR),Ata,,P,0,0,0,0,71.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
132,PETICOT,Anupama (2MTR),Anupama (2MTR),Ata,,P,0,0,0,0,89.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
133,EKRANGA,Ram Rajya,Ram Rajya,Ata,,M,0,0,0,0,12.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
134,EKRANGA,Jeevan Jyoti,Jeevan Jyoti,Ata,,M,0,0,0,0,14.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
135,EKRANGA,Jalpari,Jalpari,Ata,,M,0,0,0,0,17.71,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
136,EKRANGA,Sultan,Sultan,Ata,,M,0,0,0,0,18.61,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
137,EKRANGA,Sadabahar,Sadabahar,Ata,,M,0,0,0,0,20.91,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
138,EKRANGA,Sindoor,Sindoor,Ata,,M,0,0,0,0,21.91,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
139,RUBIA,Kamini (98L),Kamini (98L),Mti,,M,0,0,0,0,48.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
140,RUBIA,Krishna Queen 78 Cm,Krishna Queen 78 Cm,Mti,,P,0,0,0,0,37.99,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
141,RUBIA,Krishna Queen 98 Cm,Krishna Queen 98 Cm,Mti,,P,0,0,0,0,47.74,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
142,RUBIA,Vandita 78 Cm (4FOLD),Vandita 78 Cm (4FOLD),Mti,,P,0,0,0,0,41.43,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
143,RUBIA,Kitkat (Thaan),Kitkat (Thaan),Mti,,M,0,0,0,0,55.61,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
144,RUBIA,Begam Sahiba 78CM 3FOLD,Begam Sahiba 78CM 3FOLD,Mti,,P,0,0,0,0,42.05,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
145,RUBIA,Annapurna,Begam Sahiba 78CM,Mti,,P,0,0,0,0,41.11,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
146,RUBIA,Shalini,Begam Sahiba,Mti,,P,0,0,0,0,42.05,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
147,RUBIA,Vimal 2*2,Begam Sahiba 78CM 3FOLD,Mti,,P,0,0,0,0,42.05,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
148,RUBIA,Silfil (Thaan),Silfil (Thaan),Mti,,M,0,0,0,0,54.81,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
149,RUBIA,Silfil 78 Cm,Silfil 78 Cm,Mti,,P,0,0,0,0,46.18,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
150,RUBIA,Paro 78 Cm,Silfil 78 Cm,Mti,,P,0,0,0,0,42.67,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
151,RUBIA,Chakori 78 Cm,Silfil 78 Cm,Mti,,P,0,0,0,0,42.67,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
152,RUBIA,Sindoor 78 Cm,Silfil 78 Cm,Mti,,P,0,0,0,0,42.75,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
153,RUBIA,Anupama 80 Cm,Anupama 80 Cm,Mti,,P,0,0,0,0,44.49,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
154,RUBIA,Chakori W/O Co. 80 Cm,Anupama 80 Cm,Mti,,P,0,0,0,0,44.17,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
155,RUBIA,Anupama (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,57.51,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
156,RUBIA,Amrapali (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,55.61,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
157,RUBIA,Anarkali (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,56.31,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
158,RUBIA,Ankur - Ruby Cotton (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,55.61,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
159,RUBIA,Anokhi (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,60.71,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
160,RUBIA,Chakori (A) (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,60.71,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
161,RUBIA,Pashmina (A) (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,59.21,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
162,RUBIA,Shalini (Thaan),Anupama (Thaan),Mti,,M,0,0,0,0,60.71,0.0,55.21,0.0,0,0,0,,5.0,0,,,2024-03-31,True
163,RUBIA,Royal Queen (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,71.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
164,RUBIA,Chaitali (A) (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,73.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
165,RUBIA,Geetanjali (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,70.21,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
166,RUBIA,Paneri (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,73.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
167,RUBIA,Paridhaan (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,78.71,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
168,RUBIA,Pashmina (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,79.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
169,RUBIA,Saloni (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,70.51,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
170,RUBIA,Shalini (Thaan),Royal Queen (Thaan),Mti,,M,0,0,0,0,70.01,0.0,0.0,0.0,0,0,0,,5.0,0,,,2024-03-31,True
